riscv-c-01-heap-buffer-over-read,10294
riscv-c-02-heap-buffer-over-write,102a8
riscv-c-03-heap-buffer-under-write,1029c
riscv-c-04-stack-buffer-over-write,10240
riscv-c-05-oob-pointer-arithmetic,102b8
riscv-c-06-use-after-free,102a4
riscv-c-07-double-free,10290
riscv-c-08-type-confusion,1023c
riscv-c++-01-heap-buffer-over-read,109d4
riscv-c++-02-heap-buffer-over-write,109d0
riscv-c++-03-heap-buffer-under-write,109d0
riscv-c++-04-stack-buffer-over-write,10240
riscv-c++-05-oob-pointer-arithmetic,102d0
riscv-c++-06-use-after-free,109dc
riscv-c++-07-double-free,102d4
riscv-c++-08-type-confusion,10260


